Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_50 Spectral Count	A_55 Spectral Count	A_56 Spectral Count	A_57 Spectral Count	A_61 Spectral Count	A_62 Spectral Count	A_72 Spectral Count	A_75 Spectral Count	A_76 Spectral Count	A_77 Spectral Count	A_78 Spectral Count	A_81 Spectral Count	A_82 Spectral Count	A_83 Spectral Count	G_50 Spectral Count	G_55 Spectral Count	G_56 Spectral Count	G_57 Spectral Count	G_61 Spectral Count	G_62 Spectral Count	G_72 Spectral Count	G_75 Spectral Count	G_76 Spectral Count	G_77 Spectral Count	G_78 Spectral Count	G_81 Spectral Count	G_82 Spectral Count	G_83 Spectral Count	A_50 Unique Spectral Count	A_55 Unique Spectral Count	A_56 Unique Spectral Count	A_57 Unique Spectral Count	A_61 Unique Spectral Count	A_62 Unique Spectral Count	A_72 Unique Spectral Count	A_75 Unique Spectral Count	A_76 Unique Spectral Count	A_77 Unique Spectral Count	A_78 Unique Spectral Count	A_81 Unique Spectral Count	A_82 Unique Spectral Count	A_83 Unique Spectral Count	G_50 Unique Spectral Count	G_55 Unique Spectral Count	G_56 Unique Spectral Count	G_57 Unique Spectral Count	G_61 Unique Spectral Count	G_62 Unique Spectral Count	G_72 Unique Spectral Count	G_75 Unique Spectral Count	G_76 Unique Spectral Count	G_77 Unique Spectral Count	G_78 Unique Spectral Count	G_81 Unique Spectral Count	G_82 Unique Spectral Count	G_83 Unique Spectral Count	A_50 Total Spectral Count	A_55 Total Spectral Count	A_56 Total Spectral Count	A_57 Total Spectral Count	A_61 Total Spectral Count	A_62 Total Spectral Count	A_72 Total Spectral Count	A_75 Total Spectral Count	A_76 Total Spectral Count	A_77 Total Spectral Count	A_78 Total Spectral Count	A_81 Total Spectral Count	A_82 Total Spectral Count	A_83 Total Spectral Count	G_50 Total Spectral Count	G_55 Total Spectral Count	G_56 Total Spectral Count	G_57 Total Spectral Count	G_61 Total Spectral Count	G_62 Total Spectral Count	G_72 Total Spectral Count	G_75 Total Spectral Count	G_76 Total Spectral Count	G_77 Total Spectral Count	G_78 Total Spectral Count	G_81 Total Spectral Count	G_82 Total Spectral Count	G_83 Total Spectral Count	A_50 Intensity	A_55 Intensity	A_56 Intensity	A_57 Intensity	A_61 Intensity	A_62 Intensity	A_72 Intensity	A_75 Intensity	A_76 Intensity	A_77 Intensity	A_78 Intensity	A_81 Intensity	A_82 Intensity	A_83 Intensity	G_50 Intensity	G_55 Intensity	G_56 Intensity	G_57 Intensity	G_61 Intensity	G_62 Intensity	G_72 Intensity	G_75 Intensity	G_76 Intensity	G_77 Intensity	G_78 Intensity	G_81 Intensity	G_82 Intensity	G_83 Intensity	A_50 MaxLFQ Intensity	A_55 MaxLFQ Intensity	A_56 MaxLFQ Intensity	A_57 MaxLFQ Intensity	A_61 MaxLFQ Intensity	A_62 MaxLFQ Intensity	A_72 MaxLFQ Intensity	A_75 MaxLFQ Intensity	A_76 MaxLFQ Intensity	A_77 MaxLFQ Intensity	A_78 MaxLFQ Intensity	A_81 MaxLFQ Intensity	A_82 MaxLFQ Intensity	A_83 MaxLFQ Intensity	G_50 MaxLFQ Intensity	G_55 MaxLFQ Intensity	G_56 MaxLFQ Intensity	G_57 MaxLFQ Intensity	G_61 MaxLFQ Intensity	G_62 MaxLFQ Intensity	G_72 MaxLFQ Intensity	G_75 MaxLFQ Intensity	G_76 MaxLFQ Intensity	G_77 MaxLFQ Intensity	G_78 MaxLFQ Intensity	G_81 MaxLFQ Intensity	G_82 MaxLFQ Intensity	G_83 MaxLFQ Intensity	Indistinguishable Proteins
tr|A0A6P3ELP7|A0A6P3ELP7_SHEEP	A0A6P3ELP7	A0A6P3ELP7_SHEEP	LOC101114075	295	Ovis aries OX=9940	3:Protein inferred from homology	Sulfotransferase	1.0	0.999	10	47	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	5	2	0	0	4	3	6	0	3	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	5	2	0	0	4	3	6	0	3	7	0	5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16884.72	199412.88	81254.414	50334.945	0.0	0.0	87151.83	64479.918	52281.2	45210.58	47479.727	132692.38	0.0	70397.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33745.98	25594.932	31267.883	0.0	0.0	32343.33	26902.906	22209.688	37429.234	20543.564	30511.795	0.0	21106.545	0.0	tr|W5NZJ5|W5NZJ5_SHEEP
tr|A0A6P3EP88|A0A6P3EP88_SHEEP	A0A6P3EP88	A0A6P3EP88_SHEEP	C21H11orf54	315	Ovis aries OX=9940	4:Protein predicted	Chromosome 21 C11orf54 homolog	1.0	0.999	2	13	13	13	0	2	3	3	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	3	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	3	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	29812.559	34492.25	42708.305	14620.379	0.0	0.0	25864.61	34925.133	0.0	0.0	0.0	0.0	17015.986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15418.706	0.0	16045.846	18418.973	22919.217	0.0	0.0	0.0	13933.156	18752.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3EQI3|A0A6P3EQI3_SHEEP	A0A6P3EQI3	A0A6P3EQI3_SHEEP	ATP5F1A	553	Ovis aries OX=9940	1:Experimental evidence at protein level	ATP synthase subunit alpha	1.0	0.999	29	464	410	464	3	24	18	5	7	16	13	20	30	8	20	6	24	27	9	25	8	19	0	23	26	17	7	29	27	13	24	16	3	19	14	5	6	13	11	16	25	8	17	5	21	23	9	22	8	17	0	22	24	15	7	26	25	12	22	15	3	24	18	5	7	16	13	20	30	8	20	6	24	27	9	25	8	19	0	23	26	17	7	29	27	13	24	16	61558.29	582677.25	276919.3	161864.58	128187.336	362793.16	449868.44	515434.97	613614.44	227840.56	587898.56	111804.625	451334.8	500783.94	136864.4	538614.94	128245.49	484326.16	0.0	435866.66	538002.5	254268.66	337807.94	723446.75	610453.1	274762.16	590550.2	280617.47	48861.3	80861.21	48800.17	48722.383	41956.742	73682.664	85869.37	85833.95	81892.23	58576.02	90834.76	36370.543	74683.54	56302.516	34983.14	65704.27	36432.516	67742.45	0.0	55889.023	70403.08	48107.227	72514.49	78355.87	71113.375	57400.617	69652.46	50531.05	
tr|A0A6P3ESK7|A0A6P3ESK7_SHEEP	A0A6P3ESK7	A0A6P3ESK7_SHEEP	LOC101105553	137	Ovis aries OX=9940	3:Protein inferred from homology	2-iminobutanoate/2-iminopropanoate deaminase	1.0	0.999	10	153	153	153	0	5	5	2	8	1	1	1	4	3	4	2	5	10	11	11	13	8	0	5	7	6	2	9	8	4	7	11	0	5	5	2	8	1	1	1	4	3	4	2	5	10	11	11	13	8	0	5	7	6	2	9	8	4	7	11	0	5	5	2	8	1	1	1	4	3	4	2	5	10	11	11	13	8	0	5	7	6	2	9	8	4	7	11	0.0	74588.875	70727.086	54253.9	126516.6	24282.416	26514.5	24238.062	49680.36	62517.35	86631.76	79034.14	60111.39	263762.75	278482.56	188169.48	258165.7	249379.38	0.0	142998.56	199893.14	154528.33	182063.94	209293.33	161376.58	71182.79	141761.62	280907.25	0.0	29251.02	23336.967	24692.408	45079.234	0.0	0.0	0.0	22287.63	39762.887	33650.918	43911.26	28464.846	73086.97	68614.336	53062.152	57818.84	65616.64	0.0	44581.082	52636.83	48411.984	77159.15	54168.113	45276.02	31635.824	47457.99	73883.336	
tr|A0A6P3ESQ4|A0A6P3ESQ4_SHEEP	A0A6P3ESQ4	A0A6P3ESQ4_SHEEP	S100A13	98	Ovis aries OX=9940	4:Protein predicted	S100 calcium binding protein A13	1.0	0.999	5	17	17	17	0	0	6	0	1	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0.0	0.0	54215.324	0.0	8805.684	0.0	0.0	0.0	15171.037	0.0	0.0	0.0	13217.872	53048.055	0.0	0.0	0.0	0.0	0.0	0.0	55402.32	0.0	0.0	0.0	16172.246	0.0	0.0	0.0	0.0	0.0	19841.684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19831.963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3T5P0|A0A6P3T5P0_SHEEP	A0A6P3T5P0	A0A6P3T5P0_SHEEP	BDH1	344	Ovis aries OX=9940	3:Protein inferred from homology	3-hydroxybutyrate dehydrogenase 1	1.0	0.999	3	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26824.566	46824.887	0.0	35730.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16192.648	18300.242	0.0	13773.74	0.0	
tr|A0A6P3T7L6|A0A6P3T7L6_SHEEP	A0A6P3T7L6	A0A6P3T7L6_SHEEP	PLS3	630	Ovis aries OX=9940	4:Protein predicted	Plastin 3	1.0	0.999	26	94	91	243	0	2	13	0	3	3	0	0	0	5	1	3	5	6	3	3	0	19	0	3	6	1	0	4	3	6	3	2	0	2	12	0	3	3	0	0	0	4	1	3	5	6	3	3	0	18	0	3	6	1	0	4	3	6	3	2	0	6	17	0	6	6	0	0	0	7	4	6	8	29	15	14	0	32	0	11	13	11	0	15	11	8	11	13	0.0	35724.15	203519.1	0.0	56557.26	36279.46	0.0	12977.37	0.0	99472.125	29335.193	59524.367	74677.72	91557.37	55677.844	35559.43	0.0	520087.75	0.0	32824.164	100636.375	15791.099	0.0	35354.117	42677.145	88840.36	29456.428	44553.84	0.0	18255.406	33405.613	0.0	28883.592	21559.639	0.0	0.0	0.0	41615.84	14407.501	35240.273	28406.19	22323.912	22296.188	21146.422	0.0	101748.32	0.0	19472.79	39625.29	0.0	0.0	21025.412	25091.02	32496.75	17503.861	26179.324	
tr|A0A6P3T7R8|A0A6P3T7R8_SHEEP	A0A6P3T7R8	A0A6P3T7R8_SHEEP	RAB23	237	Ovis aries OX=9940	4:Protein predicted	RAB23, member RAS oncogene family	0.9202	0.999	1	6	6	6	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	18825.05	0.0	0.0	0.0	17432.438	22016.145	0.0	17115.537	0.0	16036.368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3TA70|A0A6P3TA70_SHEEP	A0A6P3TA70	A0A6P3TA70_SHEEP	UCHL3	230	Ovis aries OX=9940	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase	1.0	0.999	5	120	28	120	2	7	7	2	4	5	2	2	4	6	7	6	4	8	4	4	6	4	0	4	4	5	0	5	5	7	4	2	0	2	1	0	1	2	0	1	1	2	2	1	1	1	1	1	1	1	0	1	1	2	0	1	1	2	1	0	2	7	7	2	4	5	2	2	4	6	7	6	4	8	4	4	6	4	0	4	4	5	0	5	5	7	4	2	47026.984	91221.85	102120.19	49024.57	89097.016	58814.125	52283.97	57083.62	62455.984	101123.35	88338.625	92090.65	81340.52	87767.13	81979.81	74368.69	88228.234	82218.734	0.0	77078.96	53979.664	69182.266	22422.443	50660.527	75206.96	92834.81	70621.99	38065.29	27727.887	25177.488	27566.08	28127.514	29029.045	23633.918	31052.234	24532.145	25226.111	32710.84	27938.773	28899.445	26778.717	23394.76	26090.85	24363.95	27803.217	26939.332	0.0	25018.836	21102.068	26303.738	0.0	21664.75	24226.318	28915.273	22794.607	22511.133	
tr|A0A6P3TBF0|A0A6P3TBF0_SHEEP	A0A6P3TBF0	A0A6P3TBF0_SHEEP	HNRNPH2	449	Ovis aries OX=9940	4:Protein predicted	Heterogeneous Nuclear ribonucleoprotein H2	0.9988	0.999	4	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9368.659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3TBL3|A0A6P3TBL3_SHEEP	A0A6P3TBL3	A0A6P3TBL3_SHEEP	HYOU1	1002	Ovis aries OX=9940	3:Protein inferred from homology	Hypoxia up-regulated 1	1.0	0.999	2	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	2	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30668.89	0.0	0.0	0.0	17639.445	16733.83	18437.613	0.0	15489.2	24437.637	0.0	16141.964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3TBU6|A0A6P3TBU6_SHEEP	A0A6P3TBU6	A0A6P3TBU6_SHEEP	TXNRD1	497	Ovis aries OX=9940	3:Protein inferred from homology	Thioredoxin-disulfide reductase	1.0	0.999	17	172	0	172	0	2	3	0	1	0	0	0	0	3	1	0	1	16	13	12	19	3	0	8	11	8	2	15	18	1	22	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	3	1	0	1	16	13	12	19	3	0	8	11	8	2	15	18	1	22	13	0.0	36787.3	28360.666	0.0	13962.194	0.0	0.0	0.0	0.0	21329.584	21083.328	0.0	15316.182	185665.86	182995.2	201906.3	459681.22	120844.484	0.0	178757.34	207829.64	169778.86	162256.88	231662.7	339494.22	15102.396	334719.7	237629.53	0.0	15547.145	15434.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15493.337	0.0	0.0	33030.81	46821.844	42100.477	72918.05	37266.77	0.0	42193.85	51089.453	49083.203	48161.12	45660.582	58842.54	0.0	58728.45	48239.496	tr|W5Q5R9|W5Q5R9_SHEEP
tr|A0A6P3TEE0|A0A6P3TEE0_SHEEP	A0A6P3TEE0	A0A6P3TEE0_SHEEP	CORO1A	461	Ovis aries OX=9940	3:Protein inferred from homology	Coronin	1.0	0.999	19	117	117	118	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12	14	6	1	0	9	7	10	1	14	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12	14	6	1	0	9	7	10	1	14	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12	14	6	1	0	9	7	10	1	14	10	0	14	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246240.6	168644.66	192194.02	117836.02	83370.19	0.0	174085.64	86206.3	140135.67	64485.008	213065.88	162649.84	0.0	205028.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27241.148	27382.918	27706.146	25018.264	21150.424	0.0	28347.906	22394.498	26716.803	24641.363	28836.035	25865.717	0.0	27862.701	0.0	
tr|A0A6P3TF04|A0A6P3TF04_SHEEP	A0A6P3TF04	A0A6P3TF04_SHEEP	ILK	452	Ovis aries OX=9940	4:Protein predicted	Integrin-linked protein kinase	1.0	0.999	13	98	98	98	0	12	0	0	0	12	8	20	15	8	15	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	12	0	0	0	12	8	20	15	8	15	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	12	0	0	0	12	8	20	15	8	15	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0.0	427587.38	0.0	0.0	0.0	269694.6	169691.19	708962.3	468595.56	171803.75	385431.3	0.0	6425.1597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89552.46	0.0	0.0	0.0	28288.773	0.0	0.0	0.0	0.0	79587.9	0.0	0.0	0.0	61323.387	46325.223	125881.984	89809.62	41778.43	77915.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32571.121	0.0	0.0	0.0	19946.162	0.0	0.0	0.0	
tr|A0A6P3TFS9|A0A6P3TFS9_SHEEP	A0A6P3TFS9	A0A6P3TFS9_SHEEP	TIMM10	90	Ovis aries OX=9940	4:Protein predicted	Translocase of inner mitochondrial membrane 10	0.8567	0.9981	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11231.867	0.0	0.0	0.0	16669.309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3TG89|A0A6P3TG89_SHEEP	A0A6P3TG89	A0A6P3TG89_SHEEP	BPGM	259	Ovis aries OX=9940	3:Protein inferred from homology	Phosphoglycerate mutase	0.9999	0.9989	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6153.0356	0.0	0.0	0.0	0.0	0.0	0.0	44663.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3TGC1|A0A6P3TGC1_SHEEP	A0A6P3TGC1	A0A6P3TGC1_SHEEP	LAMA4	1824	Ovis aries OX=9940	4:Protein predicted	Laminin subunit alpha 4	1.0	0.999	30	333	333	333	15	23	34	20	25	22	22	19	27	22	29	19	38	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	15	23	34	20	25	22	22	19	27	22	29	19	38	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	15	23	34	20	25	22	22	19	27	22	29	19	38	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	441092.78	783246.8	652384.8	442166.16	444223.84	659375.2	651948.4	570473.56	836246.5	458814.75	615162.9	341876.8	841369.2	0.0	0.0	0.0	0.0	8926.64	0.0	0.0	18194.781	0.0	0.0	0.0	0.0	295246.72	0.0	0.0	66868.65	79666.4	64178.71	57195.332	47128.867	88414.12	81396.82	69661.13	81587.86	62211.605	65138.125	57803.457	85312.164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50632.2	0.0	0.0	
tr|A0A6P3TGH3|A0A6P3TGH3_SHEEP	A0A6P3TGH3	A0A6P3TGH3_SHEEP	PTGR1	329	Ovis aries OX=9940	3:Protein inferred from homology	Prostaglandin reductase 1	1.0	0.999	15	155	155	155	11	10	8	7	7	8	5	7	11	16	10	12	11	2	3	2	1	3	0	1	2	1	0	1	3	10	2	1	11	10	8	7	7	8	5	7	11	16	10	12	11	2	3	2	1	3	0	1	2	1	0	1	3	10	2	1	11	10	8	7	7	8	5	7	11	16	10	12	11	2	3	2	1	3	0	1	2	1	0	1	3	10	2	1	366597.97	302520.97	211510.89	246765.52	195110.06	239688.67	102337.43	354164.06	270004.28	714567.3	271040.72	423835.78	277145.62	11048.237	20932.031	33690.867	16654.053	80442.47	0.0	14971.341	23936.916	14886.212	0.0	7844.1787	18566.059	220392.61	7597.4824	16934.396	92668.83	69581.266	49861.07	69083.11	54751.547	66579.78	36464.5	87894.97	70550.734	150350.83	67663.37	92173.49	64082.105	0.0	0.0	18447.348	0.0	28819.389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55190.28	0.0	0.0	
tr|A0A6P3TH07|A0A6P3TH07_SHEEP	A0A6P3TH07	A0A6P3TH07_SHEEP	RAP1A	184	Ovis aries OX=9940	4:Protein predicted	RAP1A, member of RAS oncogene family	1.0	0.999	10	133	16	133	5	10	9	11	9	6	9	11	18	4	5	5	3	0	1	4	1	0	0	3	6	3	1	2	5	1	1	0	1	1	1	2	1	1	1	3	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	10	9	11	9	6	9	11	18	4	5	5	3	0	1	4	1	0	0	3	6	3	1	2	5	1	1	0	192520.81	510723.9	262607.47	476592.47	322149.75	403607.6	503926.75	412785.53	572408.4	185271.22	399071.88	102335.11	37401.18	0.0	19043.178	94505.7	20146.625	20006.441	0.0	68664.266	164359.94	84631.06	55572.305	17572.508	100522.61	16103.889	18625.494	0.0	84164.69	183103.67	93438.87	155318.58	113685.66	158130.08	189536.81	138044.84	170719.95	78679.48	154053.98	44379.895	23482.611	0.0	0.0	45725.164	0.0	0.0	0.0	36284.035	61053.023	46311.535	38595.473	0.0	50899.63	0.0	0.0	0.0	
tr|A0A6P3TH41|A0A6P3TH41_SHEEP	A0A6P3TH41	A0A6P3TH41_SHEEP	NCALD	193	Ovis aries OX=9940	4:Protein predicted	Neurocalcin-delta	1.0	0.999	3	25	19	25	1	2	4	0	5	1	1	1	3	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	2	3	0	2	1	1	1	1	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	2	4	0	5	1	1	1	3	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	24120.834	29598.979	62921.98	0.0	49626.37	15635.241	24471.93	19700.346	39226.5	0.0	24354.637	26159.37	23908.025	0.0	0.0	0.0	0.0	16477.236	0.0	0.0	14322.839	0.0	0.0	0.0	13571.255	36257.465	0.0	0.0	0.0	21286.14	28839.764	0.0	20567.406	0.0	0.0	0.0	20948.895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A6P3THE1|A0A6P3THE1_SHEEP	A0A6P3THE1	A0A6P3THE1_SHEEP	SSB	405	Ovis aries OX=9940	4:Protein predicted	Small RNA binding exonuclease protection factor La	1.0	0.999	5	16	16	16	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	1	1	1	0	1	1	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	1	1	1	0	1	1	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	1	1	1	0	1	1	1	0	0	2	0	1	0	0.0	6025.148	0.0	12435.861	11847.441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53028.38	15678.683	15342.705	15055.437	15085.647	0.0	14301.73	15998.453	9362.945	0.0	0.0	26351.418	0.0	12647.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14173.744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14307.227	0.0	0.0	0.0	
tr|A0A6P3TJB4|A0A6P3TJB4_SHEEP	A0A6P3TJB4	A0A6P3TJB4_SHEEP	MAP3K20	456	Ovis aries OX=9940	4:Protein predicted	Mitogen-activated protein kinase kinase kinase 20	1.0	0.999	5	16	0	16	0	4	1	1	6	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	6	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	45580.945	18550.283	10988.13	68729.33	0.0	0.0	14715.083	14907.8	0.0	12874.3	36317.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16031.809	11028.597	0.0	17059.254	0.0	0.0	0.0	0.0	0.0	0.0	20167.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|W5NRF7|W5NRF7_SHEEP
